customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,phone_service,num_premium_services,monthly_charges,total_charges,payment_method,paperless_billing,clv,treatment,propensity_score,churn_binary,revenue_at_risk,tenure_bucket,uplift_score_xl,mu_0_xl,mu_1_xl,quadrant_xl,value_at_risk_xl
CUST-06911,Female,0,Yes,No,72,Two year,DSL,No internet service,Yes,Yes,No,No,No,Yes,2,117.89,8738.1,Electronic check,Yes,4684.64,0,0.0036,0,0.0,49+ months,-0.04596434861862687,0.04653256631621278,0.1973799728037913,Sleeping Dog,-215.33
CUST-03704,Male,1,Yes,No,72,Two year,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Yes,3,109.2,8589.23,Mailed check,Yes,4663.95,0,0.0024,0,0.0,49+ months,0.16072417525202656,0.06189288163992628,0.18261874542791703,Sure Thing,749.61
CUST-06684,Female,0,No,Yes,37,Two year,DSL,No,No internet service,No,No internet service,No,Yes,Yes,1,118.0,4630.9,Bank transfer (automatic),No,4640.53,0,0.0224,0,0.0,25-48 months,-0.20167692463310646,0.07333108743370925,0.2120486373532106,Sleeping Dog,-935.89
CUST-04327,Male,0,No,No,72,Two year,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Yes,0,110.37,8200.21,Bank transfer (automatic),Yes,4638.15,0,0.0023,0,0.0,49+ months,0.020513766863011033,0.05291428817639922,0.2658582628197517,Sure Thing,95.15
CUST-05366,Female,0,No,No,30,Two year,Fiber optic,No,No,Yes,No,Yes,No,Yes,2,118.0,3556.67,Electronic check,No,4616.33,0,0.0286,1,1416.0,25-48 months,-0.30120885042385304,0.20648094676863496,0.3242340038384091,Sleeping Dog,-1390.48
CUST-05004,Male,0,No,No,65,Two year,DSL,Yes,Yes,No,Yes,Yes,Yes,Yes,5,103.34,7185.01,Electronic check,Yes,4552.44,0,0.0026,0,0.0,49+ months,0.026198934094534845,0.055720022438185496,0.12789814462394683,Sure Thing,119.27
CUST-00183,Female,0,Yes,No,67,Two year,No,No,Yes,No,No internet service,No internet service,Yes,Yes,2,110.85,7911.8,Electronic check,Yes,4541.03,0,0.0033,0,0.0,49+ months,0.28160848816096906,0.06759711127825122,0.0698858953641501,Sure Thing,1278.79
CUST-04329,Male,0,No,No,53,Two year,DSL,No,Yes,No,Yes,Yes,No internet service,Yes,3,106.37,6051.38,Electronic check,No,4538.34,0,0.0058,0,0.0,49+ months,-0.23737968259662356,0.034731664363794046,0.272343296672676,Sleeping Dog,-1077.31
CUST-02646,Male,0,No,No,72,Two year,DSL,No internet service,No internet service,Yes,No,No internet service,Yes,Yes,2,107.07,8219.54,Bank transfer (automatic),Yes,4534.45,0,0.0022,0,0.0,49+ months,-0.030006891993906045,0.026356968467414015,0.20990734246758494,Sleeping Dog,-136.06
CUST-04492,Female,0,Yes,No,26,Two year,Fiber optic,No,No,Yes,Yes,No,No,Yes,2,118.0,3190.77,Mailed check,Yes,4502.63,0,0.0387,0,0.0,25-48 months,-0.17235790362821846,0.19044212316853204,0.22019945528218932,Sleeping Dog,-776.06
CUST-06453,Male,0,No,No,12,Two year,Fiber optic,No,Yes,No,No,No,Yes,Yes,2,118.0,1468.86,Credit card (automatic),Yes,4484.79,0,0.0762,1,1416.0,0-12 months,0.009118049264937202,0.3192731422914859,0.0933417925755739,Lost Cause,40.89
CUST-06626,Male,1,Yes,No,52,Two year,No,No internet service,No internet service,Yes,No,No internet service,No internet service,Yes,1,104.59,4962.31,Electronic check,Yes,4481.78,0,0.0039,0,0.0,49+ months,-0.31764310726097716,0.057937996753593714,0.4334364473444129,Sleeping Dog,-1423.61
CUST-04212,Male,0,Yes,No,25,Two year,No,No internet service,Yes,Yes,No internet service,Yes,No,Yes,3,118.0,2682.72,Electronic check,Yes,4481.34,0,0.0348,0,0.0,25-48 months,-0.252905810169102,0.13108298627349282,0.2979384809180454,Sleeping Dog,-1133.36
CUST-00245,Female,0,Yes,No,72,Two year,Fiber optic,Yes,No,Yes,No,No,No,Yes,2,100.56,6530.99,Electronic check,Yes,4480.97,0,0.001,0,0.0,49+ months,0.1474273159661378,0.11613016953919934,0.17932350873638264,Sure Thing,660.62
CUST-03538,Female,0,No,No,35,Two year,Fiber optic,No internet service,Yes,No internet service,Yes,No,No internet service,Yes,2,118.0,4426.91,Mailed check,Yes,4451.62,0,0.0238,0,0.0,25-48 months,-0.10356483542197029,0.19214983180503614,0.15282473635868934,Sleeping Dog,-461.03
CUST-06065,Male,0,Yes,No,50,Two year,Fiber optic,No,No,No,No,No,No internet service,Yes,0,106.36,5461.42,Electronic check,No,4451.11,0,0.0064,0,0.0,49+ months,-0.21486421239234058,0.07149435494438494,0.36796561574506453,Sleeping Dog,-956.38
CUST-03267,Female,0,No,No,26,Two year,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,Yes,2,113.68,3053.76,Electronic check,No,4434.65,0,0.031,1,1364.16,25-48 months,-0.06482191728386923,0.27468392211055853,0.14075981894674308,Sleeping Dog,-287.46
CUST-06051,Male,0,No,No,72,Two year,DSL,Yes,No internet service,No internet service,Yes,No,No internet service,Yes,2,114.22,8552.94,Electronic check,No,4403.14,0,0.0028,0,0.0,49+ months,0.1335439549717323,0.040668911870150946,0.11146143929231037,Sure Thing,588.01
CUST-00678,Female,0,No,No,72,Two year,DSL,No,No,No,No,Yes,No internet service,Yes,1,105.1,7430.07,Electronic check,No,4385.59,0,0.0015,0,0.0,49+ months,0.02594150751324647,0.04812467531596961,0.22702284793765595,Sure Thing,113.77
CUST-02146,Male,0,Yes,No,19,Two year,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Yes,4,111.38,2297.25,Mailed check,No,4358.59,0,0.0474,0,0.0,13-24 months,0.1007394337779843,0.06825262117097017,0.06606082302477773,Sure Thing,439.08
CUST-02734,Female,0,No,No,72,Two year,DSL,No,No,No internet service,No,Yes,No internet service,Yes,1,109.55,7482.3,Mailed check,Yes,4349.18,0,0.0017,0,0.0,49+ months,0.25833118133491045,0.04993704508824087,0.09186378051604809,Sure Thing,1123.53
CUST-04714,Female,0,No,No,23,Two year,DSL,No internet service,Yes,No,Yes,Yes,Yes,Yes,4,108.74,2279.53,Mailed check,Yes,4335.74,0,0.0286,0,0.0,13-24 months,0.0581525849055345,0.06705328026820351,0.07098957897653652,Sure Thing,252.13
CUST-07014,Male,1,No,No,22,Two year,DSL,No,No,Yes,No,No,Yes,Yes,2,107.74,2202.58,Electronic check,Yes,4328.4,0,0.0293,0,0.0,13-24 months,-0.05067217776543733,0.07118999561902603,0.13765092666237716,Sleeping Dog,-219.33
CUST-03059,Female,0,No,No,72,Two year,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Yes,4,117.16,8112.29,Electronic check,No,4295.96,0,0.0026,0,0.0,49+ months,0.18588111848052025,0.03725407693306854,0.08244595291210015,Sure Thing,798.54
CUST-03189,Male,1,No,Yes,49,Two year,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,Yes,3,118.0,5737.26,Mailed check,No,4276.13,0,0.009,0,0.0,49+ months,-0.2947020227841527,0.10578213185559102,0.4256117044309592,Sleeping Dog,-1260.18
CUST-06392,Male,0,No,No,44,Two year,DSL,No,No,No,No,Yes,No,Yes,1,103.47,4657.22,Bank transfer (automatic),Yes,4267.31,0,0.0083,0,0.0,25-48 months,-0.2503216975796483,0.05708518694677645,0.4442036674465769,Sleeping Dog,-1068.2
CUST-01667,Female,0,Yes,Yes,72,Two year,DSL,Yes,No internet service,Yes,No,Yes,Yes,Yes,4,96.72,6344.51,Credit card (automatic),No,4225.2,0,0.0008,0,0.0,49+ months,0.22565583924082824,0.07833200500081465,0.10829635476103759,Sure Thing,953.44
CUST-06031,Male,0,Yes,Yes,14,Two year,DSL,Yes,No,No internet service,Yes,Yes,No internet service,No,3,118.0,1681.97,Bank transfer (automatic),Yes,4203.49,0,0.0745,1,1416.0,13-24 months,-0.0035251417970558084,0.14321895333219611,0.14272907943249497,Lost Cause,-14.82
CUST-04098,Female,0,No,Yes,9,Two year,DSL,No internet service,Yes,Yes,Yes,Yes,Yes,Yes,5,118.0,989.45,Electronic check,No,4189.22,0,0.0823,0,0.0,0-12 months,0.006458427474822677,0.1742982557572394,0.07569153107680378,Lost Cause,27.06
CUST-03886,Male,0,No,No,72,Two year,Fiber optic,No,No internet service,No,No,No internet service,Yes,Yes,1,95.93,6964.82,Mailed check,Yes,4174.42,0,0.0009,0,0.0,49+ months,0.16817672090368296,0.10876609157746732,0.16659921742508643,Sure Thing,702.04
CUST-05683,Female,0,Yes,No,7,Two year,DSL,No,Yes,No,No,Yes,No internet service,Yes,2,112.25,787.83,Electronic check,Yes,4158.8,0,0.0896,0,0.0,0-12 months,0.1953917637658681,0.4689060036041885,0.08053589674805875,Persuadable,812.6
CUST-02613,Male,0,Yes,No,43,Two year,Fiber optic,No,No,No,Yes,No,Yes,Yes,2,118.0,4760.26,Credit card (automatic),Yes,4151.88,0,0.0141,1,1416.0,25-48 months,-0.2818035609422517,0.18680927957636728,0.3161026904730997,Sleeping Dog,-1170.01
CUST-04105,Male,0,Yes,No,34,Two year,Fiber optic,No,Yes,No,No internet service,No,No,Yes,1,106.73,3355.38,Mailed check,Yes,4148.47,1,0.0142,0,0.0,25-48 months,-0.0319129321734208,0.08671187046934442,0.12335251498588369,Sleeping Dog,-132.39
CUST-05714,Male,0,No,No,36,Two year,Fiber optic,Yes,No internet service,Yes,No,Yes,No,Yes,3,102.77,3766.09,Mailed check,Yes,4112.53,0,0.0113,0,0.0,25-48 months,-0.15975953452710903,0.07836353980444624,0.24271457496203808,Sleeping Dog,-657.02
CUST-00228,Female,1,No,No,71,Two year,DSL,No,Yes,Yes,No,No,Yes,Yes,3,118.0,9188.02,Mailed check,No,4099.55,0,0.0041,0,0.0,49+ months,0.029160407086839722,0.039367187391266115,0.15758641247214936,Sure Thing,119.54
CUST-00829,Male,1,Yes,Yes,19,Two year,DSL,No internet service,No internet service,No,No,Yes,No internet service,Yes,1,106.47,1918.17,Electronic check,Yes,4091.47,0,0.0346,0,0.0,13-24 months,-0.0828818252077991,0.06278266368486009,0.1752643241137866,Sleeping Dog,-339.11
CUST-04493,Female,0,No,No,50,Two year,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,Yes,2,100.99,5295.5,Electronic check,Yes,4087.21,0,0.0052,0,0.0,49+ months,-0.08623639570356231,0.046547975381436776,0.19325862510267994,Sleeping Dog,-352.47
CUST-05478,Male,0,No,No,46,Two year,Fiber optic,Yes,Yes,No internet service,No,No,Yes,No,3,101.95,4510.65,Credit card (automatic),Yes,4065.47,0,0.0058,0,0.0,25-48 months,-0.13161778973560262,0.05356711235646198,0.307641638539337,Sleeping Dog,-535.09
CUST-03545,Male,0,No,Yes,5,Two year,DSL,No internet service,No,Yes,No internet service,Yes,No,Yes,2,117.8,539.77,Bank transfer (automatic),No,4036.46,0,0.105,0,0.0,0-12 months,0.03304427497481312,0.20805871535288387,0.13679633563642046,Sure Thing,133.38
CUST-05130,Male,0,Yes,No,26,Two year,DSL,No,No,No,Yes,No,No internet service,Yes,1,115.22,3090.91,Mailed check,No,4030.66,0,0.036,0,0.0,25-48 months,0.07663293850142633,0.10635290266755915,0.12843880064944635,Sure Thing,308.88
CUST-00986,Male,0,Yes,No,37,Two year,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Yes,3,98.63,3303.8,Electronic check,No,4022.11,0,0.0084,0,0.0,25-48 months,-0.01689864945610719,0.09556059581789969,0.19546331801159267,Sleeping Dog,-67.97
CUST-06714,Female,0,No,Yes,62,Two year,Fiber optic,Yes,No internet service,No,No,Yes,No,No,2,92.42,5890.66,Bank transfer (automatic),No,4007.34,0,0.0015,0,0.0,49+ months,-0.16367442720210768,0.09755075425194332,0.4041329275481989,Sleeping Dog,-655.9
CUST-03802,Male,0,No,No,54,Two year,Fiber optic,No internet service,Yes,No,No,No,No,Yes,1,118.0,5835.49,Bank transfer (automatic),Yes,3987.1,0,0.0069,0,0.0,49+ months,-0.385617280174609,0.08498105631070679,0.5233161339242975,Sleeping Dog,-1537.49
CUST-02325,Male,0,Yes,No,72,Two year,Fiber optic,No,No,No internet service,No,Yes,No,Yes,1,94.18,7457.86,Credit card (automatic),No,3981.66,0,0.0011,0,0.0,49+ months,0.09608205100123443,0.07558460975753764,0.32955639230827755,Sure Thing,382.57
CUST-02422,Male,0,No,Yes,45,Two year,DSL,No,No internet service,No,No,No internet service,No internet service,Yes,0,107.74,5189.0,Bank transfer (automatic),Yes,3953.52,0,0.0097,0,0.0,25-48 months,-0.20258973340297065,0.04971550561912819,0.3408394626331059,Sleeping Dog,-800.94
CUST-00166,Female,0,No,No,12,Two year,No,No,No internet service,No,No,Yes,Yes,Yes,2,112.23,1465.02,Electronic check,No,3947.7,0,0.0602,1,1346.76,0-12 months,0.0812563212835834,0.41857335072964147,0.070902184810664,Persuadable,320.78
CUST-00344,Male,0,Yes,No,16,Two year,No,Yes,Yes,No,Yes,No,Yes,Yes,4,118.0,1713.5,Bank transfer (automatic),Yes,3943.56,0,0.06,0,0.0,13-24 months,-0.22116787235794239,0.14655748172831903,0.18935958566718178,Sleeping Dog,-872.19
CUST-06885,Female,0,No,Yes,72,Two year,No,No,Yes,No internet service,No,Yes,No internet service,Yes,2,89.62,6774.81,Bank transfer (automatic),Yes,3938.2,0,0.0007,0,0.0,49+ months,0.06861446691279167,0.05462766988287698,0.23481570341562233,Sure Thing,270.22
CUST-01681,Female,0,No,No,72,Two year,Fiber optic,Yes,No,Yes,No,Yes,No,Yes,3,108.7,8375.96,Mailed check,No,3928.04,0,0.0021,0,0.0,49+ months,0.044099368936917765,0.05105905657975333,0.2120914865379059,Sure Thing,173.22
CUST-00753,Male,0,Yes,No,13,Two year,Fiber optic,No,No,No,No internet service,Yes,No internet service,Yes,1,105.93,1478.05,Mailed check,No,3889.55,0,0.0512,0,0.0,13-24 months,-0.0845654560254926,0.14059873754191968,0.18533866535444993,Sleeping Dog,-328.92
CUST-05664,Male,0,Yes,Yes,30,Two year,Fiber optic,Yes,No,No,No internet service,Yes,Yes,Yes,3,99.04,3202.84,Electronic check,No,3888.71,0,0.0152,0,0.0,25-48 months,-0.018444806091112844,0.10175743929957422,0.21255010553427822,Sleeping Dog,-71.73
CUST-05169,Female,0,Yes,No,46,Two year,DSL,Yes,No internet service,No,Yes,Yes,No internet service,Yes,3,96.54,4816.11,Mailed check,Yes,3884.7,0,0.0059,0,0.0,25-48 months,-0.07475925486681775,0.04487573386665476,0.20161264933406875,Sleeping Dog,-290.42
CUST-03231,Male,0,Yes,No,29,Two year,DSL,Yes,No,No,No,Yes,Yes,Yes,3,94.62,2864.51,Bank transfer (automatic),No,3871.43,0,0.0153,0,0.0,25-48 months,-0.10868041208493792,0.06944369421072721,0.22870910237060105,Sleeping Dog,-420.75
CUST-04222,Male,0,No,No,72,Two year,No,No,No internet service,No,No,No,Yes,Yes,1,102.9,7941.07,Electronic check,Yes,3864.99,0,0.0015,0,0.0,49+ months,0.031161776054893866,0.056254428646554104,0.15305437549179782,Sure Thing,120.44
CUST-06377,Male,0,No,Yes,56,Two year,DSL,Yes,No internet service,No,Yes,Yes,Yes,Yes,4,88.64,5275.51,Credit card (automatic),Yes,3860.0,0,0.002,0,0.0,49+ months,-0.10462095360069017,0.057651203922802485,0.23394699358289642,Sleeping Dog,-403.84
CUST-02541,Male,1,Yes,No,46,Two year,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Yes,3,108.83,4902.63,Bank transfer (automatic),No,3855.8,0,0.0084,0,0.0,25-48 months,-0.3953321613208648,0.06925918872406933,0.6023865555500139,Sleeping Dog,-1524.32
CUST-02725,Female,0,Yes,No,11,Two year,No,No,Yes,Yes,No internet service,No internet service,No,Yes,2,105.87,1194.1,Credit card (automatic),Yes,3847.33,0,0.0562,1,1270.44,0-12 months,-0.052804139831749426,0.2883275681928673,0.13193414416748972,Sleeping Dog,-203.15
CUST-03319,Male,0,Yes,Yes,47,Two year,No,No,Yes,No internet service,Yes,No,Yes,Yes,3,91.09,4020.25,Bank transfer (automatic),No,3837.74,0,0.0032,0,0.0,25-48 months,-0.16349699676322277,0.045904566271583715,0.28264349469163214,Sleeping Dog,-627.46
CUST-05905,Male,0,Yes,Yes,31,Two year,No,Yes,No internet service,No,Yes,No,No,Yes,2,93.79,2877.46,Bank transfer (automatic),No,3837.64,0,0.0106,0,0.0,25-48 months,-0.11792485333360367,0.08514995635134234,0.21898986400232884,Sleeping Dog,-452.55
CUST-02423,Female,0,No,No,19,Two year,No,No,No,Yes,No,No internet service,No internet service,Yes,1,95.25,1668.14,Bank transfer (automatic),No,3828.6,0,0.0223,0,0.0,13-24 months,-0.14579791959354294,0.07363227575200873,0.24434074451923044,Sleeping Dog,-558.2
CUST-01803,Female,1,Yes,No,11,Two year,Fiber optic,Yes,Yes,Yes,No,No,No internet service,No,3,118.0,1267.51,Bank transfer (automatic),Yes,3823.56,0,0.0821,0,0.0,0-12 months,-0.11055007231556556,0.23524353183062913,0.14531199613361295,Sleeping Dog,-422.69
CUST-01104,Male,0,No,Yes,72,Two year,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,3,95.52,7036.21,Bank transfer (automatic),No,3816.68,0,0.0009,1,1146.24,49+ months,-0.018454208819446174,0.0857903066298993,0.41003367953552705,Sleeping Dog,-70.43
CUST-00001,Female,0,Yes,No,72,Two year,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,Yes,3,89.15,5823.14,Credit card (automatic),Yes,3812.88,0,0.0006,0,0.0,49+ months,0.15437378600351115,0.07971004881814851,0.14280136341661037,Sure Thing,588.61
CUST-04664,Female,0,Yes,No,56,Two year,DSL,No,Yes,No internet service,No internet service,No,No,Yes,1,97.66,5527.73,Credit card (automatic),No,3800.22,0,0.0031,0,0.0,49+ months,0.031991508855979726,0.050902096094363365,0.2013472462146583,Sure Thing,121.57
CUST-01147,Female,0,Yes,No,34,Two year,DSL,No,No,No,Yes,No internet service,No,Yes,1,94.41,3307.07,Credit card (automatic),Yes,3772.62,0,0.0109,0,0.0,25-48 months,-0.03242823935531067,0.059992269468943024,0.24330714182127988,Sleeping Dog,-122.34
CUST-02335,Female,0,No,No,15,Two year,No,No,Yes,No,No internet service,Yes,No,Yes,2,98.61,1475.11,Bank transfer (automatic),Yes,3769.78,0,0.0336,0,0.0,13-24 months,-0.07642841694322916,0.12911072669381504,0.21077539173537158,Sleeping Dog,-288.12
CUST-07038,Male,0,No,No,24,Two year,No,Yes,No,No,No internet service,Yes,Yes,Yes,3,96.94,2558.66,Mailed check,Yes,3769.37,0,0.0187,0,0.0,13-24 months,-0.0548355242588802,0.0637803928774244,0.18913509710239598,Sleeping Dog,-206.7
CUST-03116,Female,0,Yes,No,42,Two year,Fiber optic,No,No internet service,No internet service,No,Yes,No internet service,Yes,1,110.11,5050.76,Bank transfer (automatic),No,3747.59,0,0.0139,0,0.0,25-48 months,-0.25994651699904503,0.11956022119945789,0.36376722958329977,Sleeping Dog,-974.17
CUST-04206,Male,1,No,No,28,Two year,No,Yes,No,No internet service,No,Yes,No,Yes,2,102.76,3020.13,Bank transfer (automatic),Yes,3735.76,0,0.0182,0,0.0,25-48 months,-0.11757205602639254,0.0751314865105657,0.23340541892307487,Sleeping Dog,-439.22
CUST-01439,Male,0,Yes,Yes,35,Two year,Fiber optic,No,No,Yes,No,No,Yes,Yes,2,93.97,3417.23,Electronic check,Yes,3733.02,0,0.009,1,1127.64,25-48 months,-0.18309140073591731,0.12599497844607102,0.16225804764523158,Sleeping Dog,-683.48
CUST-06033,Female,0,No,No,8,Two year,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Yes,0,106.9,783.04,Credit card (automatic),Yes,3728.25,0,0.065,1,1282.8,0-12 months,0.04560039831724523,0.5076076260981257,0.16399895771759615,Persuadable,170.01
CUST-06417,Male,1,No,No,72,Two year,Fiber optic,No internet service,Yes,Yes,No,No,Yes,Yes,3,90.06,6199.3,Electronic check,No,3722.28,0,0.0006,0,0.0,49+ months,0.028897330970924173,0.09402084579581728,0.25719428999419874,Sure Thing,107.56
CUST-04391,Male,0,Yes,Yes,24,Two year,DSL,No,No,Yes,Yes,No internet service,No internet service,Yes,2,92.27,2335.77,Credit card (automatic),No,3722.06,0,0.0177,0,0.0,13-24 months,-0.02634752230696724,0.05664788674574688,0.17051904014571387,Sleeping Dog,-98.07
CUST-02843,Male,0,No,No,72,Two year,No,No internet service,No internet service,No,Yes,Yes,Yes,Yes,3,110.74,7481.61,Mailed check,No,3719.66,0,0.0016,0,0.0,49+ months,0.15675174200294503,0.057055785814654675,0.10030142477781041,Sure Thing,583.06
CUST-02699,Male,0,No,Yes,47,Two year,No,No,Yes,No,No,No,No internet service,Yes,1,88.9,4126.14,Credit card (automatic),Yes,3712.06,0,0.0029,0,0.0,25-48 months,-0.08551361453760561,0.05280504938713677,0.2610853870237555,Sleeping Dog,-317.43
CUST-03179,Male,0,No,No,36,Two year,DSL,Yes,Yes,No,No,No,Yes,Yes,3,96.96,3581.66,Credit card (automatic),Yes,3711.23,0,0.0099,0,0.0,25-48 months,0.012862971502513644,0.05502920044173923,0.12672204402368945,Sure Thing,47.74
CUST-01473,Female,0,Yes,No,16,Two year,Fiber optic,No internet service,No internet service,No,No,Yes,No,Yes,1,105.32,1734.1,Bank transfer (automatic),Yes,3699.94,0,0.0452,0,0.0,13-24 months,-0.19768087658694278,0.11840112403712633,0.3490843176172295,Sleeping Dog,-731.41
CUST-01916,Male,1,No,No,69,Two year,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,Yes,4,85.13,5633.61,Electronic check,Yes,3699.35,0,0.0006,0,0.0,49+ months,-0.045642950716041776,0.09226683046519756,0.2451724954170295,Sleeping Dog,-168.85
CUST-01476,Female,0,Yes,No,52,Two year,DSL,No internet service,No,No,No,No,No,Yes,0,100.5,4840.81,Mailed check,Yes,3682.48,0,0.0038,0,0.0,49+ months,-0.007122483471659863,0.040798378058782156,0.14070807491762086,Lost Cause,-26.23
CUST-03286,Female,0,Yes,No,15,Two year,Fiber optic,Yes,No internet service,No,Yes,No,Yes,Yes,3,101.27,1617.34,Credit card (automatic),Yes,3680.56,0,0.0417,0,0.0,13-24 months,-0.04584304578960802,0.11247743216751767,0.15080010500333735,Sleeping Dog,-168.73
CUST-04558,Female,0,Yes,Yes,72,Two year,DSL,No,No,Yes,No,No internet service,No,Yes,1,94.85,6241.71,Mailed check,Yes,3670.67,0,0.0007,0,0.0,49+ months,0.2157457025725518,0.05365807416677892,0.15696387588460667,Sure Thing,791.93
CUST-05880,Male,0,Yes,No,7,Two year,Fiber optic,No,No,No,Yes,Yes,Yes,Yes,3,101.18,743.52,Credit card (automatic),No,3669.63,1,0.0638,0,0.0,0-12 months,0.057495031346007676,0.2761279942291088,0.15471738270665547,Persuadable,210.99
CUST-06180,Male,0,Yes,No,28,Two year,No,No,No,Yes,Yes,No,Yes,Yes,3,108.06,3216.56,Bank transfer (automatic),Yes,3668.5,0,0.0251,0,0.0,25-48 months,-0.1496385992171249,0.08723694831906798,0.19999489029497078,Sleeping Dog,-548.95
CUST-04923,Female,0,No,No,68,Two year,DSL,No,Yes,No internet service,Yes,No,Yes,Yes,3,96.39,6050.54,Mailed check,Yes,3663.68,0,0.001,0,0.0,49+ months,0.23734523628417897,0.06040281400234396,0.07061518400196153,Sure Thing,869.56
CUST-02128,Female,0,Yes,Yes,68,Two year,DSL,No,No internet service,No,Yes,No,No internet service,No,1,82.64,6132.16,Mailed check,Yes,3655.24,0,0.0007,0,0.0,49+ months,0.2948404696580786,0.06651718253504292,0.06635118926336175,Sure Thing,1077.71
CUST-06653,Male,1,No,Yes,6,Two year,Fiber optic,No internet service,No,No,Yes,No,Yes,Yes,2,102.32,637.75,Credit card (automatic),No,3654.75,0,0.0597,0,0.0,0-12 months,-0.008426457313480597,0.24838520764931618,0.14428741398972372,Lost Cause,-30.8
CUST-02542,Male,0,Yes,Yes,59,Two year,No,Yes,No internet service,No,Yes,No,Yes,Yes,3,98.57,5605.91,Credit card (automatic),Yes,3653.69,0,0.0021,0,0.0,49+ months,-0.06298023219289824,0.054521927205862214,0.2831509500304559,Sleeping Dog,-230.11
CUST-05606,Male,0,Yes,No,65,Two year,DSL,No,Yes,No internet service,No,No,Yes,Yes,2,85.04,5512.92,Mailed check,Yes,3648.9,0,0.0009,0,0.0,49+ months,0.06248279252334035,0.05927245272497736,0.1622525966880053,Sure Thing,227.99
